ID,Rank (Temp),User,Rank,Score,SS,SSW,Place,Set Win Rate,Game Win Rate,Barnacle,Bluefin,Brinewater,Crableg,Eeltail,Flounder,Haggle,Hammerhead,Humpback,Inkblot,Lemuria,Mahi,Mako,Manta,Marlin,Mincemeat,Museum,Robo,Scorch,Shipshape,Sturgeon,Umami,Undertow,Urchin,Wahoo,Color,Color_Alt,Barnacle,Bluefin,Brinewater,Crableg,Eeltail,Flounder,Haggle,Hammerhead,Humpback,Inkblot,Lemuria,Mahi,Mako,Manta,Marlin,Mincemeat,Museum,Robo,Scorch,Shipshape,Sturgeon,Umami,Undertow,Urchin,Wahoo,Sets Played,Tourneys Played
84,1,yoshii,1,100,70.91188,68.549,95.88519,86.96,80.95,100,---,---,100,---,---,66.67,---,---,75,100,57.14,100,---,---,---,---,85.71,---,66.67,---,77.78,100,---,---,9EE1F5,2AB3D6,6,0,0,4,0,0,12,0,0,4,3,7,7,0,0,0,0,7,0,3,0,9,1,0,0,23,5
152,2,Tini,2,98.943,74.97127,74.971,100,100,88.46,100,---,50,100,---,---,66.67,---,---,0,---,100,100,---,---,---,100,100,---,100,---,100,100,---,---,9EE1F5,2AB3D6,1,0,2,4,0,0,3,0,0,1,0,2,3,0,0,0,1,3,0,1,0,2,3,0,0,9,2
5,3,dante,3,94.211,72.674,69.506,91.203,83.72,75.78,85.71,---,---,61.54,---,---,84.62,---,66.67,100,---,61.54,66.67,---,---,---,0,71.43,---,83.33,---,86.67,100,---,---,9EE1F5,2AB3D6,14,0,0,13,0,0,13,0,3,8,0,13,18,0,0,0,1,21,0,6,0,15,3,0,0,43,8
28,4,ahiru,4,81.894,74.83596,70.09,74.89071,66.67,60.42,75,---,0,50,---,---,80,---,100,40,---,60,66.67,---,---,---,0,60,---,40,---,75,100,---,---,9EE1F5,2AB3D6,4,0,1,4,0,0,5,0,1,5,0,5,3,0,0,0,2,5,0,5,0,4,4,0,0,15,4
2,5,term,5,76.05,64.835,55.371,65.722,66.67,62.2,63.64,---,0,75,---,---,80.95,100,---,73.91,0,50,50,---,---,---,75,59.09,---,63.64,---,64,44.44,100,0,F1E980,EAEAEA,22,0,1,16,0,0,21,1,0,23,3,26,22,0,0,0,4,22,0,11,0,25,9,2,1,75,15
136,6,Rook,6,72.904,73.35017,70.558,100,83.33,75,100,---,---,0,---,---,66.67,---,---,---,---,---,50,---,---,---,100,100,---,100,---,0,100,---,---,9EE1F5,2AB3D6,2,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,2,2,0,2,0,1,1,0,0,6,1
87,7,Bolt,7,72.77,64.86719,57.607,68.53053,71.43,66.07,50,---,---,100,---,---,45.45,---,---,83.33,---,40,75,---,---,---,---,57.14,---,75,---,80,100,---,---,9EE1F5,2AB3D6,4,0,0,5,0,0,11,0,0,6,0,5,8,0,0,0,0,7,0,4,0,5,1,0,0,21,4
107,8,santo,8,71.816,76.001,73.196,83.335,83.33,71.88,100,---,---,100,---,---,60,---,---,100,---,83.33,66.67,---,---,---,---,50,---,0,---,80,---,---,---,9EE1F5,2AB3D6,2,0,0,2,0,0,5,0,0,2,0,6,3,0,0,0,0,6,0,1,0,5,0,0,0,12,2
26,9,Arc,9,71.236,66.41293,53.755,86.68857,75,62.5,40,---,---,50,---,---,50,---,100,0,---,100,100,---,---,---,---,60,---,33.33,---,66.67,---,---,---,9EE1F5,2AB3D6,5,0,0,4,0,0,2,0,2,1,0,3,4,0,0,0,0,5,0,3,0,3,0,0,0,12,2
120,10,seb,10,70.718,72.80025,67.4,84.20889,75,67.65,85.71,---,---,100,---,---,66.67,---,---,66.67,---,40,50,---,---,---,---,66.67,---,80,---,50,100,---,---,9EE1F5,2AB3D6,7,0,0,1,0,0,3,0,0,3,0,5,4,0,0,0,0,3,0,5,0,2,1,0,0,12,2
